,Name,Url,Review,Rating,Category 1,Category 2
1,Amrutha Lounge,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13544747-Reviews-Amrutha_Lounge-London_England.html,425 reviews,5 of 5 bubbles,Indian,"££ - £££
Indian
Asian
Healthy
Vegetarian Friendly
Vegan Options
Gluten Free Options"
2,Barge East,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d14766290-Reviews-Barge_East-London_England.html,184 reviews,5 of 5 bubbles,European,"££ - £££
European
British
Contemporary
Fusion
Vegetarian Friendly
Vegan Options
Gluten Free Options"
3,Latitude,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13474320-Reviews-Latitude-London_England.html,78 reviews,5 of 5 bubbles,European,"££ - £££
European
International
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
4,Dobar,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15211822-Reviews-Dobar-London_England.html,107 reviews,5 of 5 bubbles,Pizza,"££ - £££
Pizza
Cafe
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
5,Chojo,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15057719-Reviews-Chojo-London_England.html,199 reviews,5 of 5 bubbles,Chinese,"££ - £££
Chinese
Taiwanese
Street Food
Vegetarian Friendly
Vegan Options
Gluten Free Options"
6,German Doner Kebab,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12798255-Reviews-German_Doner_Kebab-London_England.html,146 reviews,5 of 5 bubbles,German,"£
German
Fast food
Grill
Fusion
Healthy"
7,Bistro Mirey,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13321108-Reviews-Bistro_Mirey-London_England.html,81 reviews,5 of 5 bubbles,French,"££ - £££
French
European
Japanese
Vegetarian Friendly
Vegan Options
Gluten Free Options"
8,Core by Clare Smyth,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12801049-Reviews-Core_by_Clare_Smyth-London_England.html,546 reviews,5 of 5 bubbles,French,"££££
French
European
British
Contemporary
Vegetarian Friendly
Vegan Options
Gluten Free Options"
9,Buongiorno e Buonasera,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13506472-Reviews-Buongiorno_e_Buonasera-London_England.html,234 reviews,5 of 5 bubbles,Italian,"££ - £££
Italian
Pizza
Deli
Healthy
Vegetarian Friendly
Vegan Options
Gluten Free Options"
10,Taste Of Nawab,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d813149-Reviews-Taste_Of_Nawab-London_England.html,827 reviews,5 of 5 bubbles,Indian,"££ - £££
Indian
Vegetarian Friendly
Vegan Options
Halal
Gluten Free Options"
11,Room 43 Bar & Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12830540-Reviews-Room_43_Bar_Kitchen-London_England.html,98 reviews,5 of 5 bubbles,Mediterranean,"££ - £££
Mediterranean
Middle Eastern
Persian
Vegetarian Friendly
Gluten Free Options
Vegan Options"
12,The Lounge Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10519837-Reviews-The_Lounge_Cafe-London_England.html,186 reviews,5 of 5 bubbles,British,"£
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
13,Pizza Pickup,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12386345-Reviews-Pizza_Pickup-London_England.html,121 reviews,5 of 5 bubbles,Italian,"£
Italian
Pizza
Vegetarian Friendly
Vegan Options
Gluten Free Options"
14,The Rajdoot,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15614126-Reviews-The_Rajdoot-London_England.html,101 reviews,5 of 5 bubbles,Indian,"££ - £££
Indian
Asian
Grill
Vegetarian Friendly"
15,Andy's Greek Taverna,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10440481-Reviews-Andy_s_Greek_Taverna-London_England.html,"1,322 reviews",5 of 5 bubbles,Mediterranean,"££ - £££
Mediterranean
Greek
Vegetarian Friendly
Vegan Options
Gluten Free Options"
16,The Golden Chippy,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5244301-Reviews-The_Golden_Chippy-London_England.html,"1,519 reviews",5 of 5 bubbles,Seafood,"£
Seafood
Fast food
British"
17,Oliveira Organic Vegetarian Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13915112-Reviews-Oliveira_Organic_Vegetarian_Kitchen-London_England.html,140 reviews,5 of 5 bubbles,International,"££ - £££
International
European
Contemporary
Healthy
Vegetarian Friendly
Vegan Options
Gluten Free Options"
18,Midpoint Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13559578-Reviews-Midpoint_Restaurant-London_England.html,274 reviews,5 of 5 bubbles,Mediterranean,"££ - £££
Mediterranean
Turkish
Bar
Cafe
Grill
Pub
Vegetarian Friendly
Vegan Options
Gluten Free Options"
19,Piatto,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13456611-Reviews-Piatto-London_England.html,105 reviews,5 of 5 bubbles,Italian,"££ - £££
Italian
Pizza
Vegetarian Friendly
Vegan Options
Gluten Free Options"
20,The Clink Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6635485-Reviews-The_Clink_Restaurant-London_England.html,866 reviews,5 of 5 bubbles,European,"££ - £££
European
British
Contemporary
Vegetarian Friendly
Vegan Options
Gluten Free Options"
21,Magic Falafel,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10701915-Reviews-Magic_Falafel-London_England.html,153 reviews,5 of 5 bubbles,Fast food,"£
Fast food
Mediterranean
Middle Eastern
Vegetarian Friendly
Vegan Options
Gluten Free Options"
22,Bar 61 Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1316206-Reviews-Bar_61_Restaurant-London_England.html,"2,284 reviews",5 of 5 bubbles,Mediterranean,"££ - £££
Mediterranean
European
Spanish
Vegetarian Friendly
Vegan Options
Gluten Free Options"
23,Treves & Hyde,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11768375-Reviews-Treves_Hyde-London_England.html,189 reviews,5 of 5 bubbles,European,"££ - £££
European
British
Grill
Healthy
Wine Bar
Vegetarian Friendly
Vegan Options
Gluten Free Options"
24,Tonis Amalfi,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12947166-Reviews-Tonis_Amalfi-London_England.html,116 reviews,5 of 5 bubbles,Italian,"££ - £££
Italian
Pizza
Seafood
Mediterranean
European
Vegetarian Friendly
Vegan Options
Gluten Free Options"
25,The Ledbury,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d720761-Reviews-The_Ledbury-London_England.html,"2,856 reviews",4.5 of 5 bubbles,French,"££££
French
European
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
26,Knife Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10825060-Reviews-Knife_Restaurant-London_England.html,170 reviews,5 of 5 bubbles,Steakhouse,"££ - £££
Steakhouse
European
British
Vegetarian Friendly
Gluten Free Options"
27,Indian Room,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d783897-Reviews-Indian_Room-London_England.html,803 reviews,4.5 of 5 bubbles,Indian,"££ - £££
Indian
Vegetarian Friendly
Vegan Options
Halal
Gluten Free Options"
28,Sushi Tetsu,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3314573-Reviews-Sushi_Tetsu-London_England.html,191 reviews,5 of 5 bubbles,Japanese,"££££
Japanese
Sushi
Asian
Gluten Free Options"
29,Humble Grape Battersea,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8122594-Reviews-Humble_Grape_Battersea-London_England.html,"1,120 reviews",5 of 5 bubbles,European,"££ - £££
European
Wine Bar
Bar
Mediterranean
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
30,The Oystermen Seafood Bar & Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12518072-Reviews-The_Oystermen_Seafood_Bar_Kitchen-London_England.html,908 reviews,5 of 5 bubbles,Seafood,"££ - £££
Seafood
British
Gluten Free Options"
32,Fast Break,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12246210-Reviews-Fast_Break-London_England.html,157 reviews,5 of 5 bubbles,Cafe,"£
Cafe
European
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
33,Limin',https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15266279-Reviews-Limin-London_England.html,279 reviews,5 of 5 bubbles,Vegetarian Friendly,"££ - £££
Vegetarian Friendly
Vegan Options"
34,EaTurkish,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12213063-Reviews-EaTurkish-London_England.html,190 reviews,5 of 5 bubbles,Fast food,"£
Fast food
Mediterranean
Turkish
Middle Eastern
Vegetarian Friendly
Vegan Options
Halal"
35,Monsieur Le Duck,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15533584-Reviews-Monsieur_Le_Duck-London_England.html,105 reviews,5 of 5 bubbles,French,"££ - £££
French
Southwestern
European
Contemporary
Wine Bar"
36,taNgia,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7391044-Reviews-TaNgia-London_England.html,647 reviews,5 of 5 bubbles,Moroccan,"££ - £££
Moroccan
Mediterranean
Grill
Vegetarian Friendly
Vegan Options
Halal"
37,Oi Vita Pizzeria,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11961993-Reviews-Oi_Vita_Pizzeria-London_England.html,138 reviews,5 of 5 bubbles,Italian,"£
Italian
Pizza
Mediterranean
European
Vegetarian Friendly
Vegan Options
Gluten Free Options"
38,Filika Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13565344-Reviews-Filika_Restaurant-London_England.html,172 reviews,5 of 5 bubbles,Mediterranean,"££ - £££
Mediterranean
Seafood
Middle Eastern
International
Vegetarian Friendly
Vegan Options
Gluten Free Options
Halal"
39,Alexander The Great,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5122082-Reviews-Alexander_The_Great-London_England.html,"1,700 reviews",4.5 of 5 bubbles,Mediterranean,"££ - £££
Mediterranean
Greek
Vegetarian Friendly
Vegan Options
Gluten Free Options"
40,Flour To The People!,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7995020-Reviews-Flour_To_The_People-London_England.html,244 reviews,4.5 of 5 bubbles,British,"££ - £££
British
Pizza
Cafe
European
Vegan Options"
41,Meraki Grill,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12067722-Reviews-Meraki_Grill-London_England.html,114 reviews,5 of 5 bubbles,Mediterranean,"££ - £££
Mediterranean
Barbecue
Greek
Grill
Seafood
Vegetarian Friendly
Vegan Options
Gluten Free Options"
42,Yolk Breaker,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d14799503-Reviews-Yolk_Breaker-London_England.html,68 reviews,5 of 5 bubbles,American,"££ - £££
American
British
Vegetarian Friendly"
43,Humble Grape Islington,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12547499-Reviews-Humble_Grape_Islington-London_England.html,316 reviews,5 of 5 bubbles,European,"££ - £££
European
Wine Bar
Vegetarian Friendly
Vegan Options
Gluten Free Options"
44,Cafe de Provence,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10371250-Reviews-Cafe_de_Provence-London_England.html,100 reviews,5 of 5 bubbles,Cafe,"£
Cafe
European
British
French
Vegetarian Friendly
Vegan Options
Gluten Free Options"
45,Yucca,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12965808-Reviews-Yucca-London_England.html,120 reviews,5 of 5 bubbles,Mexican,"££ - £££
Mexican
Latin
Vegetarian Friendly
Vegan Options
Gluten Free Options"
46,Fishers Fish and Chips,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3515065-Reviews-Fishers_Fish_and_Chips-London_England.html,928 reviews,4.5 of 5 bubbles,Seafood,"£
Seafood
Fast food
British
Vegetarian Friendly
Gluten Free Options"
47,Domo94,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7686960-Reviews-Domo94-London_England.html,402 reviews,4.5 of 5 bubbles,Italian,"££ - £££
Italian
Pizza
Mediterranean
European
Vegetarian Friendly
Vegan Options
Gluten Free Options"
48,Liman Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10444968-Reviews-Liman_Restaurant-London_England.html,"1,194 reviews",5 of 5 bubbles,Mediterranean,"££ - £££
Mediterranean
European
Turkish
Middle Eastern
Vegetarian Friendly
Vegan Options
Halal
Gluten Free Options"
49,The Prince of Greenwich Museum Pub,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7159326-Reviews-The_Prince_of_Greenwich_Museum_Pub-London_England.html,326 reviews,5 of 5 bubbles,Mediterranean,"££ - £££
Mediterranean
Italian
Bar
Pizza
Pub
Vegetarian Friendly
Vegan Options
Gluten Free Options"
50,Yuu Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11717778-Reviews-Yuu_Kitchen-London_England.html,980 reviews,4.5 of 5 bubbles,Taiwanese,"££ - £££
Taiwanese
Japanese
Asian
Vegetarian Friendly
Vegan Options
Gluten Free Options"
51,London Shell Co,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11838878-Reviews-London_Shell_Co-London_England.html,185 reviews,5 of 5 bubbles,Seafood,"££££
Seafood
British
Gluten Free Options"
52,Mere,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12228960-Reviews-Mere-London_England.html,578 reviews,4.5 of 5 bubbles,European,"££££
European
Vegetarian Friendly
Vegan Options
Gluten Free Options"
53,Zeret Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1748899-Reviews-Zeret_Kitchen-London_England.html,563 reviews,5 of 5 bubbles,African,"££ - £££
African
Ethiopian
Vegetarian Friendly
Vegan Options
Gluten Free Options"
54,E Pellicci,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d731643-Reviews-E_Pellicci-London_England.html,824 reviews,4.5 of 5 bubbles,Italian,"£
Italian
Cafe
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
55,Ormer Mayfair,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10682050-Reviews-Ormer_Mayfair-London_England.html,596 reviews,4.5 of 5 bubbles,European,"££ - £££
European
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
56,Daphne Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5583274-Reviews-Daphne_Restaurant-London_England.html,227 reviews,5 of 5 bubbles,Mediterranean,"££ - £££
Mediterranean
Greek
Vegetarian Friendly
Vegan Options
Gluten Free Options"
57,Shahi Pakwaan,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12116313-Reviews-Shahi_Pakwaan-London_England.html,168 reviews,5 of 5 bubbles,Indian,"££ - £££
Indian
Asian
Vegetarian Friendly
Vegan Options
Gluten Free Options"
58,Alyn Williams at the Westbury,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2433450-Reviews-Alyn_Williams_at_the_Westbury-London_England.html,810 reviews,4.5 of 5 bubbles,French,"££££
French
European
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
59,Fiddie’s Italian Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8734724-Reviews-Fiddie_s_Italian_Kitchen-London_England.html,"1,274 reviews",5 of 5 bubbles,Italian,"££ - £££
Italian
Pizza
Mediterranean
European
Vegetarian Friendly
Vegan Options
Gluten Free Options"
60,Purezza Camden,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13917394-Reviews-Purezza_Camden-London_England.html,330 reviews,4.5 of 5 bubbles,Italian,"££ - £££
Italian
Pizza
European
Gluten Free Options"
61,Tom Simmons - Tower Bridge,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12556244-Reviews-Tom_Simmons_Tower_Bridge-London_England.html,251 reviews,4.5 of 5 bubbles,European,"££ - £££
European
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
63,Awesome Thai,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3490463-Reviews-Awesome_Thai-London_England.html,581 reviews,4.5 of 5 bubbles,Asian,"££ - £££
Asian
Thai
Vegetarian Friendly
Vegan Options
Gluten Free Options"
64,Ardiciocca,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13958566-Reviews-Ardiciocca-London_England.html,144 reviews,5 of 5 bubbles,Italian,"££ - £££
Italian
Pizza
Mediterranean
European
Gluten Free Options
Vegetarian Friendly
Vegan Options"
65,Launceston Place,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d719675-Reviews-Launceston_Place-London_England.html,983 reviews,4.5 of 5 bubbles,French,"££££
French
European
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
66,R & H cafe gallery,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10517849-Reviews-R_H_cafe_gallery-London_England.html,264 reviews,5 of 5 bubbles,Cafe,"££ - £££
Cafe
Middle Eastern
Persian
Vegetarian Friendly
Vegan Options
Gluten Free Options"
67,Anjanaas,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2699789-Reviews-Anjanaas-London_England.html,448 reviews,4.5 of 5 bubbles,Indian,"££ - £££
Indian
Asian
Vegetarian Friendly
Vegan Options
Gluten Free Options"
68,L’angolo Bianco,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8566994-Reviews-L_angolo_Bianco-London_England.html,65 reviews,5 of 5 bubbles,Italian,"££ - £££
Italian
European
Cafe
Vegetarian Friendly"
69,Restaurant Flat Three,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7932677-Reviews-Restaurant_Flat_Three-London_England.html,164 reviews,5 of 5 bubbles,International,"££££
International
Fusion
Contemporary
Vegetarian Friendly
Vegan Options
Gluten Free Options"
70,Caminata,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2008532-Reviews-Caminata-London_England.html,382 reviews,4.5 of 5 bubbles,Italian,"££ - £££
Italian
Pizza
European
Vegetarian Friendly
Vegan Options
Gluten Free Options"
71,Sunday Champagne Brunch at The Landmark London,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3869685-Reviews-Sunday_Champagne_Brunch_at_The_Landmark_London-London_England.html,229 reviews,5 of 5 bubbles,European,"££££
European
British
Vegetarian Friendly
Gluten Free Options
Vegan Options"
72,Peninsula Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,341 reviews,5 of 5 bubbles,European,"££££
European
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
73,L'oro di Napoli,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7290752-Reviews-L_oro_di_Napoli-London_England.html,628 reviews,4.5 of 5 bubbles,Italian,"£
Italian
Pizza
Vegetarian Friendly
Vegan Options"
74,Kama Sushi @ Sticky Mango,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13792494-Reviews-Kama_Sushi_Sticky_Mango-London_England.html,178 reviews,5 of 5 bubbles,Japanese,"££££
Japanese
Sushi
Asian
Vegetarian Friendly
Vegan Options
Gluten Free Options"
75,The Five Fields,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3853609-Reviews-The_Five_Fields-London_England.html,"1,258 reviews",5 of 5 bubbles,European,"££££
European
British
Contemporary
Vegetarian Friendly
Vegan Options
Gluten Free Options"
76,Paladar,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13110566-Reviews-Paladar-London_England.html,285 reviews,5 of 5 bubbles,South American,"££ - £££
South American
Latin
Contemporary
Fusion
Vegetarian Friendly
Vegan Options
Gluten Free Options"
77,The Sitara,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2244333-Reviews-The_Sitara-London_England.html,570 reviews,4.5 of 5 bubbles,Indian,"££ - £££
Indian
Asian
Vegetarian Friendly
Vegan Options
Halal
Gluten Free Options"
78,Baileys Fish and Chips,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2719908-Reviews-Baileys_Fish_and_Chips-London_England.html,"1,743 reviews",4.5 of 5 bubbles,Seafood,"£
Seafood
Fast food
British
Vegetarian Friendly"
79,Frog By Adam Handling,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12883339-Reviews-Frog_By_Adam_Handling-London_England.html,375 reviews,5 of 5 bubbles,British,"££££
British
Contemporary
European
Vegetarian Friendly
Vegan Options
Gluten Free Options"
80,Fine Foods,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7015028-Reviews-Fine_Foods-London_England.html,183 reviews,5 of 5 bubbles,Italian,"££ - £££
Italian
Mediterranean
European
Vegetarian Friendly
Vegan Options
Gluten Free Options"
81,Bellillo,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8118034-Reviews-Bellillo-London_England.html,153 reviews,4.5 of 5 bubbles,Italian,"££ - £££
Italian
Pizza
Mediterranean
Vegetarian Friendly"
82,Cirrik 19 Numara Bos,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d730384-Reviews-Cirrik_19_Numara_Bos-London_England.html,217 reviews,4.5 of 5 bubbles,Mediterranean,"££ - £££
Mediterranean
Barbecue
Turkish
Middle Eastern
Vegetarian Friendly
Vegan Options
Halal
Gluten Free Options"
83,Green Pea,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2311519-Reviews-Green_Pea-London_England.html,931 reviews,4.5 of 5 bubbles,Irish,"££ - £££
Irish
Bar
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
84,The Great Chase,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12697784-Reviews-The_Great_Chase-London_England.html,125 reviews,4.5 of 5 bubbles,British,"££ - £££
British
European
Vegetarian Friendly
Vegan Options
Halal
Gluten Free Options"
85,Tomo Pizzeria & Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1801860-Reviews-Tomo_Pizzeria_Restaurant-London_England.html,210 reviews,5 of 5 bubbles,Italian,"££ - £££
Italian
Pizza
Mediterranean
European
Vegetarian Friendly
Vegan Options
Gluten Free Options"
86,Olde Goa,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3599696-Reviews-Olde_Goa-London_England.html,218 reviews,5 of 5 bubbles,Indian,"££ - £££
Indian
Seafood
Asian
Vegetarian Friendly
Vegan Options
Gluten Free Options"
87,Lentil,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7808892-Reviews-Lentil-London_England.html,277 reviews,5 of 5 bubbles,Indian,"££ - £££
Indian
Asian
Nepalese
Vegetarian Friendly
Vegan Options
Gluten Free Options"
88,Sahara Grill Hounslow,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12992337-Reviews-Sahara_Grill_Hounslow-London_England.html,230 reviews,4.5 of 5 bubbles,Fusion,"££ - £££
Grill
Fusion
Steakhouse
Mediterranean
Vegetarian Friendly
Halal"
89,Trattoria Raffaele,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1519855-Reviews-Trattoria_Raffaele-London_England.html,360 reviews,5 of 5 bubbles,Italian,"££ - £££
Italian
Pizza
Vegetarian Friendly
Vegan Options
Gluten Free Options"
90,Buenos Aires Argentine Steakhouse - Chiswick,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4242819-Reviews-Buenos_Aires_Argentine_Steakhouse_Chiswick-London_England.html,708 reviews,4.5 of 5 bubbles,Steakhouse,"££ - £££
Steakhouse
Grill
Argentinian
South American
Gluten Free Options"
91,Monkey Temple,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6759550-Reviews-Monkey_Temple-London_England.html,245 reviews,4.5 of 5 bubbles,Indian,"££ - £££
Indian
Asian
Nepalese
Vegetarian Friendly
Vegan Options
Gluten Free Options"
92,Laurent at Cafe Royal,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d14088539-Reviews-Laurent_at_Cafe_Royal-London_England.html,283 reviews,4.5 of 5 bubbles,Seafood,"££££
Seafood
Sushi
Grill
Vegetarian Friendly
Vegan Options
Gluten Free Options"
94,"May Fair Kitchen, Mayfair",https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6612075-Reviews-May_Fair_Kitchen_Mayfair-London_England.html,596 reviews,4.5 of 5 bubbles,European,"££££
European
Vegetarian Friendly
Vegan Options
Gluten Free Options"
95,Fishcotheque,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1316331-Reviews-Fishcotheque-London_England.html,"1,280 reviews",4.5 of 5 bubbles,Seafood,"£
Seafood
Fast food
European
British"
96,Lokkanta Meze & Barbeque,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7136330-Reviews-Lokkanta_Meze_Barbeque-London_England.html,819 reviews,4.5 of 5 bubbles,Mediterranean,"££ - £££
Mediterranean
Barbecue
Turkish
Middle Eastern
Healthy
Vegetarian Friendly
Vegan Options
Halal
Gluten Free Options"
97,Indian Express. West Kensington,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4002133-Reviews-Indian_Express_West_Kensington-London_England.html,"1,022 reviews",4.5 of 5 bubbles,Indian,"££ - £££
Indian
Asian
Balti
Vegetarian Friendly
Halal
Gluten Free Options
Vegan Options"
98,Indian Moment,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d804653-Reviews-Indian_Moment-London_England.html,468 reviews,4.5 of 5 bubbles,Indian,"££ - £££
Indian
Asian
Vegetarian Friendly
Vegan Options
Halal
Gluten Free Options"
99,Iran Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d733340-Reviews-Iran_Restaurant-London_England.html,"2,120 reviews",4.5 of 5 bubbles,Middle Eastern,"££ - £££
Middle Eastern
Persian
Vegetarian Friendly
Vegan Options
Halal
Gluten Free Options"
100,Arro Coffee -The Temple of Coffee BAYSWATER,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11884748-Reviews-Arro_Coffee_The_Temple_of_Coffee_BAYSWATER-London_England.html,209 reviews,4.5 of 5 bubbles,Cafe,"££ - £££
Cafe
Vegetarian Friendly
Vegan Options
Gluten Free Options"
101,Dhaba@49,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12926680-Reviews-Dhaba_49-London_England.html,199 reviews,4.5 of 5 bubbles,Indian,"££ - £££
Indian
Asian
Street Food
Vegetarian Friendly
Vegan Options
Halal
Gluten Free Options"
102,El Inca Plebeyo,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8528939-Reviews-El_Inca_Plebeyo-London_England.html,195 reviews,4.5 of 5 bubbles,Latin,"££ - £££
Latin
South American
Ecuadorean
Fusion
Vegetarian Friendly
Gluten Free Options
Vegan Options"
103,Les Douceurs de la Tentation,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3834264-Reviews-Les_Douceurs_de_la_Tentation-London_England.html,123 reviews,5 of 5 bubbles,French,"££ - £££
French
European
Vegetarian Friendly
Gluten Free Options
Vegan Options"
104,The Prince of Wales,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2074022-Reviews-The_Prince_of_Wales-London_England.html,731 reviews,4.5 of 5 bubbles,Irish,"££ - £££
Irish
Fast food
British
Pub
Vegetarian Friendly
Vegan Options
Gluten Free Options"
105,Cahoots,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7934476-Reviews-Cahoots-London_England.html,"2,028 reviews",4.5 of 5 bubbles,British,"££ - £££
British"
106,Alexandrie Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7589353-Reviews-Alexandrie_Restaurant-London_England.html,168 reviews,5 of 5 bubbles,Mediterranean,"££££
Mediterranean
Middle Eastern
Egyptian
Vegetarian Friendly
Vegan Options
Gluten Free Options"
107,Bella Roma Lewisham,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10431777-Reviews-Bella_Roma_Lewisham-London_England.html,178 reviews,4.5 of 5 bubbles,Italian,"££ - £££
Italian
Pizza
Mediterranean
European
Vegetarian Friendly
Vegan Options
Gluten Free Options"
