,Name,Url,Review,Rating,Category 1,Category 2
15586,Cinnamon Tree Indian Takeaway,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2655001-Reviews-Cinnamon_Tree_Indian_Takeaway-London_England.html,14 reviews,3 of 5 bubbles,Indian,"Indian
Asian"
15587,Unique Pizza,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5615894-Reviews-Unique_Pizza-London_England.html,9 reviews,3 of 5 bubbles,Pizza,"£
Pizza"
15588,Tasty Grill,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5122990-Reviews-Tasty_Grill-London_England.html,8 reviews,3 of 5 bubbles,Turkish,Turkish
15589,Victoria Tandoori,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2336682-Reviews-Victoria_Tandoori-London_England.html,22 reviews,3 of 5 bubbles,Indian,"££ - £££
Indian
Asian"
15590,Ragged Canteen,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2097120-Reviews-Ragged_Canteen-London_England.html,18 reviews,3 of 5 bubbles,Cafe,"£
Cafe
Vegetarian Friendly
Vegan Options"
15591,Koi Japanese and Chinese Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d9832236-Reviews-Koi_Japanese_and_Chinese_Restaurant-London_England.html,43 reviews,3 of 5 bubbles,Chinese,"££ - £££
Chinese
Japanese
Sushi
Asian"
15592,Kung Fu Oriental Buffet,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13112328-Reviews-Kung_Fu_Oriental_Buffet-London_England.html,41 reviews,3 of 5 bubbles,American,"£
American
European
Korean
Asian
Vegetarian Friendly"
15594,Domino's Pizza,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5851363-Reviews-Domino_s_Pizza-London_England.html,7 reviews,3 of 5 bubbles,Pizza,"££ - £££
Pizza"
15595,Sutton Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d9744907-Reviews-Sutton_Cafe-London_England.html,4 reviews,3 of 5 bubbles,,
15596,Hot Italian,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8599716-Reviews-Hot_Italian-London_England.html,4 reviews,3 of 5 bubbles,,
15597,Piccolo Bar,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5220216-Reviews-Piccolo_Bar-London_England.html,55 reviews,3 of 5 bubbles,Cafe,"£
Cafe
Fast food
Vegetarian Friendly"
15598,Rainbow,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1317534-Reviews-Rainbow-London_England.html,22 reviews,3 of 5 bubbles,Chinese,"Chinese
Asian"
15599,Subway,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3981069-Reviews-Subway-London_England.html,6 reviews,3 of 5 bubbles,Fast food,"£
Fast food"
15600,Shisha Garden Grill,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5439526-Reviews-Shisha_Garden_Grill-London_England.html,38 reviews,3 of 5 bubbles,Middle Eastern,"££ - £££
Middle Eastern
Halal"
15601,Limehouse Kebab,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5616019-Reviews-Limehouse_Kebab-London_England.html,16 reviews,3 of 5 bubbles,Fast food,"Fast food
Turkish
Halal"
15602,Shikara - South Kensington,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1018437-Reviews-Shikara_South_Kensington-London_England.html,49 reviews,3 of 5 bubbles,Indian,"££ - £££
Indian
Asian
Vegetarian Friendly
Halal"
15603,Speedy Noodle,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5769037-Reviews-Speedy_Noodle-London_England.html,38 reviews,3 of 5 bubbles,Chinese,"£
Chinese
Asian"
15604,Phi-Lac Noodle House,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4925682-Reviews-Phi_Lac_Noodle_House-London_England.html,9 reviews,3 of 5 bubbles,Chinese,"£
Chinese
Asian"
15605,Beaconsfield,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2512898-Reviews-Beaconsfield-London_England.html,34 reviews,3.5 of 5 bubbles,British,"££ - £££
Bar
British
Pub"
15606,Joy's Chinese Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3267188-Reviews-Joy_s_Chinese_Restaurant-London_England.html,48 reviews,3 of 5 bubbles,Chinese,"£
Chinese
Asian"
15607,Burger King,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5081384-Reviews-Burger_King-London_England.html,8 reviews,3 of 5 bubbles,,
15608,Anglo Viet,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10454914-Reviews-Anglo_Viet-London_England.html,3 reviews,3 of 5 bubbles,,
